WordNet ID,Name,Clutter,Difficulty,Scale,CNN similarity: highest ranked,Human similarity: highest ranked,Semantic similarity: highest ranked
n01582220,magpie,1.5911,0.1800,0.3193,"magpie, kite, chickadee, vulture, bald_eagle","magpie, goldfinch, ruddy_turnstone, brambling, limpkin","magpie, jay, house_finch, goldfinch, indigo_bunting"
n01592084,chickadee,0.9545,0.1200,0.3184,"chickadee, magpie, coucal, robin, hummingbird","goldfinch, chickadee, ruddy_turnstone, jay, dowitcher","chickadee, house_finch, goldfinch, indigo_bunting, brambling"
n01601694,water_ouzel,0.5196,0.2041,0.1829,"water_ouzel, jacamar, American_coot, eft, bee_eater","partridge, water_ouzel, ruddy_turnstone, limpkin, red-backed_sandpiper","water_ouzel, house_finch, goldfinch, indigo_bunting, brambling"
n01608432,kite,1.2766,0.3000,0.3633,"kite, bald_eagle, vulture, magpie, coucal","dowitcher, ruddy_turnstone, oystercatcher, spoonbill, white_stork","kite, great_grey_owl, bald_eagle, vulture, ostrich"
n01614925,bald_eagle,1.1177,0.1000,0.3676,"bald_eagle, kite, vulture, magpie, black_stork","bald_eagle, ruddy_turnstone, vulture, dowitcher, spoonbill","bald_eagle, great_grey_owl, kite, vulture, ostrich"
n01616318,vulture,1.5943,0.2400,0.4307,"vulture, kite, bald_eagle, magpie, black_stork","vulture, ruddy_turnstone, oystercatcher, dowitcher, spoonbill","vulture, kite, bald_eagle, great_grey_owl, flamingo"
n01622779,great_grey_owl,0.8840,0.1200,0.5552,"great_grey_owl, kite, coho, vulture, bittern","great_grey_owl, ruddy_turnstone, bulbul, oystercatcher, coucal","great_grey_owl, kite, bald_eagle, vulture, ostrich"
n01629819,European_fire_salamander,1.6544,0.0600,0.3665,"European_fire_salamander, agama, water_snake, common_newt, leaf_beetle","whiptail, European_fire_salamander, common_newt, thunder_snake, diamondback","European_fire_salamander, common_newt, eft, spotted_salamander, axolotl"
n01630670,common_newt,1.5704,0.4800,0.4426,"common_newt, spotted_salamander, eft, tailed_frog, water_snake","common_newt, whiptail, garter_snake, European_fire_salamander, thunder_snake","common_newt, eft, European_fire_salamander, spotted_salamander, axolotl"
n01631663,eft,1.5638,0.2800,0.2384,"eft, common_newt, Indian_cobra, night_snake, water_snake","whiptail, common_newt, eft, horned_viper, green_lizard","eft, common_newt, European_fire_salamander, spotted_salamander, axolotl"
n01632458,spotted_salamander,1.5288,0.2500,0.4717,"spotted_salamander, common_newt, eel, crayfish, rock_python","whiptail, common_newt, centipede, spotted_salamander, European_fire_salamander","spotted_salamander, axolotl, eft, common_newt, European_fire_salamander"
n01632777,axolotl,2.0717,0.1800,0.4849,"axolotl, crayfish, American_alligator, whiptail, platypus","axolotl, hognose_snake, water_snake, mud_turtle, whiptail","axolotl, spotted_salamander, European_fire_salamander, common_newt, eft"
n01641577,bullfrog,0.9670,0.3265,0.4013,"bullfrog, tailed_frog, tree_frog, water_snake, rock_python","whiptail, green_lizard, common_iguana, bullfrog, common_newt","bullfrog, tree_frog, tailed_frog, eft, common_newt"
n01644373,tree_frog,0.7469,0.3000,0.3271,"tree_frog, tailed_frog, bullfrog, mantis, African_chameleon","tree_frog, grasshopper, American_chameleon, walking_stick, leafhopper","tree_frog, bullfrog, tailed_frog, eft, common_newt"
n01644900,tailed_frog,1.1408,0.6000,0.4936,"tailed_frog, bullfrog, tree_frog, common_newt, rock_python","tailed_frog, tree_frog, common_iguana, common_newt, whiptail","tailed_frog, tree_frog, bullfrog, eft, common_newt"
n01664065,loggerhead,1.7941,0.3600,0.4948,"loggerhead, leatherback_turtle, scuba_diver, tiger_shark, puffer","loggerhead, electric_ray, puffer, terrapin, dugong","loggerhead, leatherback_turtle, mud_turtle, terrapin, box_turtle"
n01665541,leatherback_turtle,2.1113,0.5000,0.3908,"leatherback_turtle, loggerhead, American_alligator, mud_turtle, African_crocodile","leatherback_turtle, dugong, puffer, grey_whale, loggerhead","leatherback_turtle, loggerhead, mud_turtle, terrapin, box_turtle"
n01667114,mud_turtle,1.1453,0.6000,0.4985,"mud_turtle, terrapin, box_turtle, leatherback_turtle, tailed_frog","mud_turtle, box_turtle, terrapin, Komodo_dragon, Gila_monster","mud_turtle, leatherback_turtle, terrapin, box_turtle, loggerhead"
n01667778,terrapin,1.2624,0.5400,0.4563,"terrapin, mud_turtle, box_turtle, leatherback_turtle, tailed_frog","terrapin, mud_turtle, loggerhead, box_turtle, leatherback_turtle","terrapin, mud_turtle, leatherback_turtle, box_turtle, loggerhead"
n01669191,box_turtle,0.9656,0.2400,0.5260,"box_turtle, terrapin, mud_turtle, leatherback_turtle, cicada","mud_turtle, box_turtle, Komodo_dragon, terrapin, banded_gecko","box_turtle, mud_turtle, loggerhead, leatherback_turtle, terrapin"
n01675722,banded_gecko,0.8110,0.3400,0.5102,"banded_gecko, rock_python, alligator_lizard, diamondback, horned_viper","banded_gecko, whiptail, garter_snake, horned_viper, European_fire_salamander","banded_gecko, African_chameleon, American_chameleon, whiptail, agama"
n01677366,common_iguana,0.9712,0.3200,0.5608,"common_iguana, green_lizard, Komodo_dragon, frilled_lizard, agama","common_iguana, whiptail, African_chameleon, green_lizard, agama","common_iguana, American_chameleon, African_chameleon, Komodo_dragon, whiptail"
n01682714,American_chameleon,0.6807,0.5400,0.3957,"American_chameleon, green_lizard, walking_stick, mantis, vine_snake","American_chameleon, tree_frog, walking_stick, whiptail, African_chameleon","American_chameleon, common_iguana, banded_gecko, whiptail, agama"
n01685808,whiptail,0.6959,0.3000,0.4732,"whiptail, alligator_lizard, agama, Gila_monster, African_chameleon","whiptail, common_newt, green_lizard, diamondback, European_fire_salamander","whiptail, African_chameleon, Komodo_dragon, American_chameleon, agama"
n01687978,agama,0.5006,0.3400,0.3906,"agama, alligator_lizard, green_lizard, whiptail, African_chameleon","agama, garter_snake, whiptail, common_iguana, diamondback","agama, frilled_lizard, Komodo_dragon, African_chameleon, Gila_monster"
n01688243,frilled_lizard,1.7559,0.2400,0.6277,"frilled_lizard, common_iguana, Komodo_dragon, African_chameleon, agama","frilled_lizard, common_iguana, whiptail, mud_turtle, eft","frilled_lizard, agama, alligator_lizard, American_chameleon, banded_gecko"
n01689811,alligator_lizard,1.0731,0.5800,0.4575,"alligator_lizard, whiptail, agama, green_lizard, night_snake","whiptail, alligator_lizard, garter_snake, Indian_cobra, diamondback","alligator_lizard, common_iguana, banded_gecko, Komodo_dragon, African_chameleon"
n01692333,Gila_monster,1.4267,0.3000,0.4774,"Gila_monster, whiptail, rock_python, sidewinder, alligator_lizard","Gila_monster, whiptail, Komodo_dragon, diamondback, common_iguana","Gila_monster, African_chameleon, Komodo_dragon, American_chameleon, whiptail"
n01693334,green_lizard,0.7611,0.5400,0.4177,"green_lizard, American_chameleon, common_iguana, alligator_lizard, agama","whiptail, green_lizard, common_iguana, African_chameleon, eft","green_lizard, alligator_lizard, Komodo_dragon, African_chameleon, Gila_monster"
n01694178,African_chameleon,1.2071,0.3000,0.5399,"African_chameleon, agama, green_lizard, whiptail, common_iguana","African_chameleon, whiptail, common_iguana, green_lizard, common_newt","African_chameleon, Komodo_dragon, American_chameleon, whiptail, agama"
n01695060,Komodo_dragon,1.4616,0.2800,0.5268,"Komodo_dragon, common_iguana, green_lizard, frilled_lizard, agama","Komodo_dragon, horned_viper, common_iguana, Gila_monster, diamondback","Komodo_dragon, African_chameleon, banded_gecko, American_chameleon, whiptail"
n01697457,African_crocodile,0.9373,0.4400,0.4426,"African_crocodile, American_alligator, leatherback_turtle, rock_python, gar","African_crocodile, Komodo_dragon, mud_turtle, American_alligator, leatherback_turtle","African_crocodile, American_alligator, hognose_snake, banded_gecko, common_iguana"
n01698640,American_alligator,1.1941,0.3333,0.4682,"American_alligator, African_crocodile, leatherback_turtle, starfish, otter","American_alligator, hognose_snake, garter_snake, mud_turtle, sidewinder","American_alligator, African_crocodile, boa_constrictor, rock_python, horned_viper"
n01704323,triceratops,2.5667,0.2041,0.6909,"triceratops, hog, warthog, bubble, African_chameleon","triceratops, brown_bear, American_black_bear, water_buffalo, hog","triceratops, African_crocodile, sidewinder, boa_constrictor, Indian_cobra"
n01728572,thunder_snake,1.0263,0.3400,0.3957,"thunder_snake, hognose_snake, night_snake, water_snake, ringneck_snake","garter_snake, hognose_snake, thunder_snake, night_snake, diamondback","thunder_snake, king_snake, ringneck_snake, green_snake, vine_snake"
n01728920,ringneck_snake,0.6776,0.2000,0.4005,"ringneck_snake, thunder_snake, hognose_snake, night_snake, water_snake","ringneck_snake, hognose_snake, Indian_cobra, diamondback, garter_snake","ringneck_snake, green_snake, garter_snake, water_snake, vine_snake"
n01729322,hognose_snake,0.6861,0.5600,0.5718,"hognose_snake, night_snake, diamondback, sidewinder, Indian_cobra","hognose_snake, garter_snake, sidewinder, thunder_snake, diamondback","hognose_snake, king_snake, night_snake, green_snake, ringneck_snake"
n01729977,green_snake,1.0911,0.4200,0.5173,"green_snake, green_mamba, vine_snake, walking_stick, green_lizard","green_snake, hognose_snake, garter_snake, diamondback, whiptail","green_snake, ringneck_snake, vine_snake, water_snake, garter_snake"
n01734418,king_snake,0.4414,0.3000,0.5930,"king_snake, rock_python, night_snake, hognose_snake, diamondback","king_snake, hognose_snake, garter_snake, night_snake, thunder_snake","king_snake, ringneck_snake, thunder_snake, hognose_snake, green_snake"
n01735189,garter_snake,0.5392,0.2200,0.5035,"garter_snake, rock_python, alligator_lizard, hognose_snake, sea_snake","garter_snake, hognose_snake, thunder_snake, sidewinder, horned_viper","garter_snake, green_snake, ringneck_snake, water_snake, vine_snake"
n01737021,water_snake,1.0309,0.4800,0.3184,"water_snake, Indian_cobra, sea_snake, night_snake, tailed_frog","hognose_snake, water_snake, garter_snake, sidewinder, green_snake","water_snake, ringneck_snake, green_snake, garter_snake, vine_snake"
n01739381,vine_snake,1.3855,0.4694,0.4372,"vine_snake, green_snake, green_mamba, eel, walking_stick","vine_snake, whiptail, green_snake, European_fire_salamander, green_lizard","vine_snake, water_snake, garter_snake, green_snake, ringneck_snake"
n01740131,night_snake,0.7012,0.7200,0.4892,"night_snake, hognose_snake, boa_constrictor, Indian_cobra, rock_python","garter_snake, night_snake, hognose_snake, Indian_cobra, thunder_snake","night_snake, king_snake, vine_snake, thunder_snake, hognose_snake"
n01742172,boa_constrictor,1.0305,0.2800,0.6642,"boa_constrictor, rock_python, night_snake, diamondback, hognose_snake","garter_snake, thunder_snake, diamondback, Indian_cobra, hognose_snake","boa_constrictor, rock_python, ringneck_snake, garter_snake, water_snake"
n01744401,rock_python,0.9234,0.6400,0.6064,"rock_python, boa_constrictor, night_snake, diamondback, king_snake","hognose_snake, garter_snake, sidewinder, king_snake, horned_viper","rock_python, boa_constrictor, vine_snake, ringneck_snake, garter_snake"
n01748264,Indian_cobra,1.0470,0.2600,0.5889,"Indian_cobra, night_snake, hognose_snake, water_snake, alligator_lizard","Indian_cobra, garter_snake, night_snake, diamondback, hognose_snake","Indian_cobra, green_mamba, green_snake, sea_snake, ringneck_snake"
n01749939,green_mamba,1.1829,0.4400,0.5078,"green_mamba, green_snake, vine_snake, jackfruit, Indian_cobra","green_mamba, whiptail, common_newt, American_chameleon, common_iguana","green_mamba, Indian_cobra, ringneck_snake, hognose_snake, thunder_snake"
n01751748,sea_snake,1.5006,0.3061,0.2919,"sea_snake, eel, water_snake, king_snake, rock_python","hognose_snake, sidewinder, garter_snake, sea_snake, water_snake","sea_snake, horned_viper, diamondback, boa_constrictor, rock_python"
n01753488,horned_viper,0.8247,0.4600,0.6129,"horned_viper, sidewinder, diamondback, hognose_snake, night_snake","horned_viper, garter_snake, diamondback, thunder_snake, hognose_snake","horned_viper, diamondback, sidewinder, vine_snake, ringneck_snake"
n01755581,diamondback,0.5742,0.5600,0.5817,"diamondback, horned_viper, sidewinder, night_snake, hognose_snake","diamondback, garter_snake, horned_viper, hognose_snake, whiptail","diamondback, sidewinder, horned_viper, ringneck_snake, garter_snake"
n01756291,sidewinder,0.6199,0.7551,0.6321,"sidewinder, horned_viper, diamondback, hognose_snake, rock_python","hognose_snake, sidewinder, garter_snake, diamondback, Indian_cobra","sidewinder, diamondback, horned_viper, ringneck_snake, garter_snake"
n01768244,trilobite,1.6152,0.1087,0.4667,"trilobite, ant, leaf_beetle, long-horned_beetle, cockroach","trilobite, chiton, conch, sea_anemone, eel","trilobite, Dungeness_crab, ringlet, barn_spider, rock_crab"
n01770081,harvestman,1.0459,0.3400,0.8529,"harvestman, walking_stick, mantis, wolf_spider, long-horned_beetle","black_widow, cricket, damselfly, tarantula, harvestman","harvestman, scorpion, barn_spider, black_and_gold_garden_spider, wolf_spider"
n01770393,scorpion,1.2385,0.1400,0.4597,"scorpion, tick, fiddler_crab, cockroach, rock_crab","scorpion, barn_spider, tiger_beetle, black_widow, wolf_spider","scorpion, garden_spider, wolf_spider, black_widow, harvestman"
n01773157,black_and_gold_garden_spider,0.9567,0.1000,0.4088,"black_and_gold_garden_spider, garden_spider, spider_web, tick, wolf_spider","black_and_gold_garden_spider, garden_spider, black_widow, damselfly, cricket","black_and_gold_garden_spider, garden_spider, tarantula, wolf_spider, black_widow"
n01773549,barn_spider,0.9482,0.5400,0.4365,"barn_spider, garden_spider, wolf_spider, spider_web, tarantula","barn_spider, wolf_spider, black_widow, scorpion, tick","barn_spider, garden_spider, black_and_gold_garden_spider, black_widow, tarantula"
n01773797,garden_spider,0.8435,0.5000,0.3328,"garden_spider, barn_spider, black_and_gold_garden_spider, spider_web, wolf_spider","black_and_gold_garden_spider, garden_spider, damselfly, black_widow, cricket","garden_spider, black_and_gold_garden_spider, barn_spider, black_widow, tarantula"
n01774384,black_widow,1.0415,0.2400,0.3560,"black_widow, wolf_spider, tarantula, barn_spider, cockroach","black_widow, cricket, barn_spider, tick, rhinoceros_beetle","black_widow, garden_spider, black_and_gold_garden_spider, wolf_spider, tarantula"
n01774750,tarantula,1.2517,0.2600,0.5929,"tarantula, wolf_spider, barn_spider, black_widow, spider_web","tarantula, wolf_spider, black_widow, barn_spider, cricket","tarantula, garden_spider, black_and_gold_garden_spider, barn_spider, black_widow"
n01775062,wolf_spider,1.0427,0.3800,0.5667,"wolf_spider, barn_spider, black_widow, tarantula, walking_stick","wolf_spider, barn_spider, tarantula, black_widow, scorpion","wolf_spider, garden_spider, black_and_gold_garden_spider, black_widow, barn_spider"
n01776313,tick,1.5223,0.3600,0.1781,"tick, long-horned_beetle, weevil, leaf_beetle, cockroach","tick, fly, black_widow, barn_spider, tiger_beetle","tick, harvestman, scorpion, black_and_gold_garden_spider, barn_spider"
n01784675,centipede,1.3939,0.3400,0.4523,"centipede, alligator_lizard, garter_snake, eel, cicada","centipede, whiptail, common_newt, European_fire_salamander, eft","centipede, rock_crab, king_crab, barn_spider, black_widow"
n01795545,black_grouse,1.1757,0.1633,0.3264,"black_grouse, ptarmigan, ruffed_grouse, partridge, quail","black_grouse, American_egret, dowitcher, spoonbill, ruddy_turnstone","black_grouse, prairie_chicken, ruffed_grouse, ptarmigan, peacock"
n01796340,ptarmigan,0.8151,0.2200,0.2879,"ptarmigan, ruffed_grouse, black_grouse, partridge, meerkat","goldfinch, limpkin, jay, ruddy_turnstone, ptarmigan","ptarmigan, black_grouse, ruffed_grouse, prairie_chicken, partridge"
n01797886,ruffed_grouse,1.3736,0.2000,0.3666,"ruffed_grouse, partridge, ptarmigan, black_grouse, quail","ruffed_grouse, partridge, ruddy_turnstone, bulbul, limpkin","ruffed_grouse, black_grouse, ptarmigan, prairie_chicken, quail"
n01798484,prairie_chicken,1.3325,0.1429,0.3235,"prairie_chicken, partridge, ruffed_grouse, quail, bustard","prairie_chicken, limpkin, black_grouse, partridge, ruffed_grouse","prairie_chicken, black_grouse, ruffed_grouse, ptarmigan, peacock"
n01806143,peacock,0.9334,0.2449,0.6700,"peacock, crane, vulture, American_egret, water_bottle","ruddy_turnstone, red-backed_sandpiper, oystercatcher, dowitcher, pelican","peacock, partridge, quail, ruffed_grouse, ptarmigan"
n01806567,quail,0.9045,0.1600,0.3142,"quail, partridge, ruffed_grouse, goose, black_grouse","ruddy_turnstone, oystercatcher, dowitcher, coucal, vulture","quail, partridge, peacock, ruffed_grouse, ptarmigan"
n01807496,partridge,0.8967,0.3400,0.3256,"partridge, ruffed_grouse, quail, black_grouse, ptarmigan","partridge, ruddy_turnstone, black_grouse, dowitcher, red-backed_sandpiper","partridge, peacock, quail, ruffed_grouse, ptarmigan"
n01817953,African_grey,1.9998,0.0800,0.4684,"African_grey, mongoose, carpenter's_kit, velvet, hamper","African_grey, spoonbill, dowitcher, pelican, coucal","African_grey, macaw, sulphur-crested_cockatoo, lorikeet, hornbill"
n01818515,macaw,0.9657,0.1224,0.5362,"macaw, jellyfish, puffer, eel, quill","goldfinch, ruddy_turnstone, macaw, dowitcher, oystercatcher","macaw, African_grey, sulphur-crested_cockatoo, lorikeet, hornbill"
n01819313,sulphur-crested_cockatoo,1.4900,0.1837,0.4716,"sulphur-crested_cockatoo, kite, bald_eagle, koala, vulture","sulphur-crested_cockatoo, bulbul, goldfinch, indigo_bunting, ruddy_turnstone","sulphur-crested_cockatoo, African_grey, macaw, lorikeet, American_egret"
n01820546,lorikeet,0.9139,0.0600,0.4665,"lorikeet, macaw, cock, toucan, bulbul","lorikeet, toucan, bulbul, indigo_bunting, oystercatcher","lorikeet, African_grey, macaw, sulphur-crested_cockatoo, coucal"
n01824575,coucal,1.2382,0.2000,0.3226,"coucal, house_finch, kite, bulbul, robin","coucal, ruddy_turnstone, bulbul, oystercatcher, dowitcher","coucal, hen, ostrich, bee_eater, hornbill"
n01828970,bee_eater,1.1747,0.1000,0.2818,"bee_eater, jacamar, water_ouzel, goldfinch, hummingbird","bee_eater, ruddy_turnstone, bulbul, goldfinch, indigo_bunting","bee_eater, hornbill, hen, cock, ostrich"
n01829413,hornbill,1.2522,0.1400,0.5231,"hornbill, toucan, little_blue_heron, vulture, kite","ruddy_turnstone, dowitcher, spoonbill, vulture, oystercatcher","hornbill, bee_eater, toucan, ostrich, coucal"
n01833805,hummingbird,1.3423,0.1200,0.2657,"hummingbird, bulbul, bee_eater, house_finch, coucal","hummingbird, ruddy_turnstone, bulbul, indigo_bunting, dowitcher","hummingbird, drake, flamingo, pelican, bustard"
n01843065,jacamar,0.9473,0.1000,0.3512,"jacamar, water_ouzel, bee_eater, jay, bulbul","jacamar, bulbul, indigo_bunting, ruddy_turnstone, vulture","jacamar, toucan, coucal, ostrich, hen"
n01843383,toucan,1.3542,0.1400,0.4318,"toucan, hornbill, lorikeet, macaw, sulphur_butterfly","lorikeet, toucan, indigo_bunting, oystercatcher, bee_eater","toucan, jacamar, hen, coucal, bee_eater"
n01847000,drake,0.7495,0.2400,0.3347,"drake, red-breasted_merganser, oystercatcher, American_coot, redshank","drake, oystercatcher, spoonbill, black_swan, ruddy_turnstone","drake, red-breasted_merganser, goose, American_egret, bustard"
n01855032,red-breasted_merganser,0.6458,0.1600,0.2913,"red-breasted_merganser, drake, oystercatcher, red-backed_sandpiper, goose","red-breasted_merganser, American_coot, black_swan, American_egret, black_grouse","red-breasted_merganser, drake, goose, white_stork, black_stork"
n01855672,goose,1.2833,0.2979,0.3850,"goose, pelican, partridge, red-backed_sandpiper, quail","ruddy_turnstone, oystercatcher, spoonbill, dowitcher, albatross","goose, red-breasted_merganser, drake, black_swan, European_gallinule"
n01860187,black_swan,1.3152,0.0600,0.4186,"black_swan, crane, American_coot, pelican, drake","black_swan, oystercatcher, spoonbill, American_egret, pelican","black_swan, European_gallinule, goose, bustard, drake"
n01871265,tusker,1.2958,0.4375,0.5179,"tusker, Indian_elephant, African_elephant, hippopotamus, American_alligator","tusker, African_elephant, Indian_elephant, water_buffalo, brown_bear","tusker, soft-coated_wheaten_terrier, Dandie_Dinmont, miniature_schnauzer, giant_schnauzer"
n01872401,echidna,1.3015,0.0600,0.3249,"echidna, porcupine, armadillo, titi, sloth_bear","echidna, armadillo, mink, porcupine, hen-of-the-woods","echidna, platypus, sea_lion, bison, ox"
n01873310,platypus,1.8059,0.1800,0.2384,"platypus, gar, beaver, otter, American_alligator","platypus, mud_turtle, terrapin, leatherback_turtle, American_alligator","platypus, echidna, Lhasa, guinea_pig, cougar"
n01877812,wallaby,1.7469,0.3400,0.4162,"wallaby, wood_rabbit, mongoose, hare, fox_squirrel","wood_rabbit, wallaby, hare, fox_squirrel, squirrel_monkey","wallaby, wombat, koala, Angora, hare"
n01882714,koala,1.2507,0.1837,0.6052,"koala, spider_monkey, wombat, mink, langur","koala, squirrel_monkey, capuchin, indri, macaque","koala, wallaby, wombat, killer_whale, Angora"
n01883070,wombat,1.9426,0.3600,0.3685,"wombat, hog, mink, koala, warthog","marmot, wombat, badger, lesser_panda, patas","wombat, wallaby, koala, killer_whale, Angora"
n01910747,jellyfish,0.8819,0.2093,0.5183,"jellyfish, bubble, Petri_dish, sea_anemone, isopod","jellyfish, puffer, anemone_fish, stingray, rock_beauty","jellyfish, brain_coral, sea_anemone, scorpion, tiger_beetle"
n01914609,sea_anemone,1.0812,0.3750,0.6994,"sea_anemone, anemone_fish, sea_cucumber, sea_slug, puffer","sea_anemone, anemone_fish, coral_fungus, lionfish, flatworm","sea_anemone, brain_coral, jellyfish, scorpion, tiger_beetle"
n01917289,brain_coral,1.1283,0.2162,0.6467,"brain_coral, coral_reef, eel, sea_anemone, sea_slug","brain_coral, sea_anemone, chambered_nautilus, coral_reef, jellyfish","brain_coral, sea_anemone, jellyfish, scorpion, tiger_beetle"
n01924916,flatworm,1.2875,0.3000,0.3786,"flatworm, sea_slug, sea_anemone, sea_cucumber, chiton","flatworm, sea_anemone, anemone_fish, fiddler_crab, sea_slug","flatworm, nematode, scorpion, tiger_beetle, long-horned_beetle"
n01930112,nematode,1.6614,0.2381,0.7421,"nematode, quill, bolo_tie, screwdriver, paintbrush","nematode, water_snake, hognose_snake, barracouta, European_fire_salamander","nematode, flatworm, scorpion, tiger_beetle, long-horned_beetle"
n01943899,conch,2.1986,0.2653,0.5038,"conch, chiton, snail, hermit_crab, letter_opener","conch, sea_anemone, coral_fungus, flatworm, hen-of-the-woods","conch, sea_slug, snail, slug, chambered_nautilus"
n01944390,snail,1.1211,0.2245,0.3190,"snail, chiton, conch, acorn, cicada","snail, sea_urchin, anemone_fish, rock_beauty, cardoon","snail, sea_slug, slug, conch, chiton"
n01945685,slug,1.6601,0.3400,0.2967,"slug, tailed_frog, eel, eft, spotted_salamander","slug, fiddler_crab, whiptail, rock_crab, hognose_snake","slug, sea_slug, snail, conch, chiton"
n01950731,sea_slug,1.4023,0.2041,0.4571,"sea_slug, flatworm, sea_cucumber, sea_anemone, spiny_lobster","sea_slug, flatworm, sea_anemone, anemone_fish, rock_beauty","sea_slug, slug, snail, conch, chiton"
n01955084,chiton,1.8869,0.2766,0.4025,"chiton, sea_cucumber, snail, sea_slug, isopod","chiton, horned_viper, sea_cucumber, garter_snake, trilobite","chiton, conch, sea_slug, snail, slug"
n01968897,chambered_nautilus,1.5162,0.2200,0.5777,"chambered_nautilus, chocolate_sauce, jellyfish, vase, acorn_squash","chambered_nautilus, sea_anemone, anemone_fish, brain_coral, lionfish","chambered_nautilus, sea_slug, conch, snail, slug"
n01978287,Dungeness_crab,2.0638,0.3095,0.5366,"Dungeness_crab, crayfish, rock_crab, king_crab, American_lobster","Dungeness_crab, king_crab, fiddler_crab, crayfish, American_lobster","Dungeness_crab, fiddler_crab, rock_crab, king_crab, spiny_lobster"
n01978455,rock_crab,1.3001,0.4694,0.3859,"rock_crab, fiddler_crab, crayfish, Dungeness_crab, hermit_crab","rock_crab, fiddler_crab, crayfish, common_newt, tiger_beetle","rock_crab, fiddler_crab, Dungeness_crab, king_crab, spiny_lobster"
